

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
069.384  000.241  000.241: require('nvim-tree.actions.finders.find-file')
069.457  000.072  000.072: require('nvim-tree.actions.finders.search-node')
069.458  000.472  000.160: require('nvim-tree.actions.finders')
069.765  000.077  000.077: require('nvim-tree.actions.reloaders')
069.768  000.251  000.174: require('nvim-tree.actions.fs.copy-paste')
070.002  000.234  000.234: require('nvim-tree.actions.fs.create-file')
070.132  000.129  000.129: require('nvim-tree.actions.fs.remove-file')
070.583  000.450  000.450: require('nvim-tree.actions.fs.rename-file')
070.659  000.075  000.075: require('nvim-tree.actions.fs.trash')
070.660  001.202  000.063: require('nvim-tree.actions.fs')
070.798  000.070  000.070: require('nvim-tree.actions.moves.item')
070.894  000.095  000.095: require('nvim-tree.actions.moves.parent')
070.965  000.070  000.070: require('nvim-tree.actions.moves.sibling')
070.966  000.305  000.070: require('nvim-tree.actions.moves')
071.306  000.193  000.193: require('nvim-tree.actions.node.file-popup')
071.578  000.271  000.271: require('nvim-tree.actions.node.open-file')
071.742  000.163  000.163: require('nvim-tree.actions.node.run-command')
071.833  000.090  000.090: require('nvim-tree.actions.node.system-open')
071.834  000.867  000.150: require('nvim-tree.actions.node')
072.141  000.134  000.134: require('nvim-tree.actions.root.change-dir')
072.494  000.352  000.352: require('nvim-tree.actions.root.dir-up')
072.496  000.661  000.175: require('nvim-tree.actions.root')
072.646  000.073  000.073: require('nvim-tree.actions.tree.find-file')
072.786  000.069  000.069: require('nvim-tree.actions.tree.modifiers.collapse-all')
072.962  000.175  000.175: require('nvim-tree.actions.tree.modifiers.expand-all')
073.033  000.070  000.070: require('nvim-tree.actions.tree.modifiers.toggles')
073.034  000.387  000.073: require('nvim-tree.actions.tree.modifiers')
073.100  000.065  000.065: require('nvim-tree.actions.tree.open')
073.161  000.059  000.059: require('nvim-tree.actions.tree.toggle')
073.162  000.665  000.081: require('nvim-tree.actions.tree')
073.162  004.314  000.141: require('nvim-tree.actions')
073.228  000.064  000.064: require('nvim-tree.appearance.diagnostics')
073.541  000.169  000.169: require('nvim-tree.keymap')
073.543  000.314  000.145: require('nvim-tree.help')
073.611  000.068  000.068: require('nvim-tree.marks.navigation')
073.679  000.067  000.067: require('nvim-tree.marks.bulk-delete')
073.749  000.069  000.069: require('nvim-tree.marks.bulk-trash')
073.918  000.168  000.168: require('nvim-tree.marks.bulk-move')
073.949  005.268  000.203: require('nvim-tree.api')
073.951  005.413  000.146: require('nvim-tree.commands')
074.022  000.070  000.070: require('nvim-tree.legacy')
074.042  011.486  000.532: require('nvim-tree')
083.729  021.720  010.234: require('nvim-tree.api')
089.143  000.206  000.206: sourcing /Users/win/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
089.860  041.660  007.807: require('lspconfig.util')
091.640  000.362  000.362: require('telescope.previewers.previewer')
092.031  000.390  000.390: require('telescope.previewers.term_previewer')
092.584  000.103  000.103: require('plenary.context_manager')
095.487  000.174  000.174: require('vim.treesitter.language')
095.496  000.409  000.234: require('vim.treesitter.query')
095.718  000.220  000.220: require('vim.treesitter._range')
095.724  000.867  000.238: require('vim.treesitter.languagetree')
095.729  001.104  000.237: require('vim.treesitter')
095.731  001.280  000.175: require('nvim-treesitter.compat')
097.827  001.808  001.808: require('nvim-treesitter.parsers')
098.127  000.299  000.299: require('nvim-treesitter.utils')
098.145  002.311  000.203: require('nvim-treesitter.ts_utils')
098.148  002.417  000.106: require('nvim-treesitter.tsrange')
098.233  000.083  000.083: require('nvim-treesitter.caching')
098.239  004.047  000.268: require('nvim-treesitter.query')
098.247  004.375  000.328: require('nvim-treesitter.configs')
098.248  004.919  000.543: require('nvim-treesitter-textobjects')
098.912  000.078  000.078: require('nvim-treesitter.info')
099.039  000.126  000.126: require('nvim-treesitter.shell_command_selectors')
099.052  000.550  000.346: require('nvim-treesitter.install')
099.229  000.176  000.176: require('nvim-treesitter.statusline')
099.436  000.205  000.205: require('nvim-treesitter.query_predicates')
099.437  001.188  000.256: require('nvim-treesitter')
099.905  000.313  000.313: require('nvim-treesitter.textobjects.shared')
099.907  000.467  000.154: require('nvim-treesitter.textobjects.select')
100.098  000.077  000.077: require('nvim-treesitter.textobjects.attach')
100.285  000.186  000.186: require('nvim-treesitter.textobjects.repeatable_move')
100.289  000.366  000.103: require('nvim-treesitter.textobjects.move')
100.597  000.216  000.216: require('nvim-treesitter.textobjects.swap')
100.689  000.075  000.075: require('nvim-treesitter.textobjects.lsp_interop')
100.697  007.490  000.260: sourcing /Users/win/.local/share/nvim/lazy/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
101.649  000.065  000.065: require('nvim-ts-autotag._log')
101.722  000.072  000.072: require('nvim-ts-autotag.utils')
101.730  000.310  000.174: require('nvim-ts-autotag.internal')
101.731  000.592  000.282: require('nvim-ts-autotag')
